alpha,d,m,n,T,R,EDD,,Medias,,IGA,
, , , , , , Tmax,CPU Time,Tmax,CPU Time,Tmax,CPU Time
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
0,10,2,20,0.2,0.2,445,0,390,0,344,0
0,10,2,20,0.8,0.2,995,0,1114,0,956,0
0,10,3,20,0.2,0.2,373,0,440,0,231,0
0,10,3,20,0.8,0.2,854,0,935,0,774,0
0,10,5,20,0.2,0.2,353,0,554,0,168,0
0,10,5,20,0.8,0.2,1066,0,1221,0,1009,0
0,10,10,50,0.2,0.2,1180,0,1411,0,590,0
0,10,10,50,0.8,0.2,2945,0,2910,0,2379,0
0,10,30,50,0.2,0.2,2068,0,2750,0,1396,1
0,10,30,50,0.8,0.2,4529,0,4464,0,3848,1
0,10,50,50,0.2,0.2,3664,0,3906,0,2680,4
0,10,50,50,0.8,0.2,6392,0,6121,0,5189,3
0,10,30,150,0.2,0.2,4383,0,5285,0,3007,22
0,10,30,150,0.8,0.2,9721,0,9726,0,8069,22
0,10,50,150,0.2,0.2,6801,0,7092,0,4937,49
0,10,50,150,0.8,0.2,11378,0,11761,0,10001,66
0,10,30,250,0.2,0.2,5525,0,6014,0,3076,146
0,10,30,250,0.8,0.2,13657,0,14271,0,11722,95
0,10,50,250,0.2,0.2,7885,0,8616,0,5911,139
0,10,50,250,0.8,0.2,16612,0,16441,0,14053,195
0,10,30,350,0.2,0.2,7549,0,9891,0,4974,217
0,10,30,350,0.8,0.2,18744,0,20129,0,16016,178
0,10,50,350,0.2,0.2,9734,0,11177,0,6484,482
0,10,50,350,0.8,0.2,21079,0,21193,0,18145,213
0.2,10,2,20,0.2,0.2,1084.04,0,972752,0,897212,0
0.2,10,2,20,0.8,0.2,1722.1,0,1742.37,0,1513.23,0
0.2,10,3,20,0.2,0.2,1059.98,0,892665,0,723581,0
0.2,10,3,20,0.8,0.2,1538,0,1398.75,0,1274.08,0
0.2,10,5,20,0.2,0.2,1248.75,0,1290.23,0,841962,0
0.2,10,5,20,0.8,0.2,1980.76,0,1948.26,0,1692.47,0
0.2,10,10,50,0.2,0.2,4467.73,0,4168.37,0,3232.59,0
0.2,10,10,50,0.8,0.2,6344.37,0,5793.99,0,5015.42,0
0.2,10,30,50,0.2,0.2,7030.77,0,7395.99,0,5744.43,1
0.2,10,30,50,0.8,0.2,9566.41,0,9020.89,0,8018.43,1
0.2,10,50,50,0.2,0.2,10500.8,0,9881.75,0,8078.18,2
0.2,10,50,50,0.8,0.2,12866.8,0,12631.8,0,10650.7,2
0.2,10,30,150,0.2,0.2,20451.7,0,20173.4,0,16521.1,35
0.2,10,30,150,0.8,0.2,25316.9,0,25668,0,21669.8,28
0.2,10,50,150,0.2,0.2,24923.7,0,25106.6,0,20912.6,69
0.2,10,50,150,0.8,0.2,29739.7,0,30110.8,0,26180.2,37
0.2,10,30,250,0.2,0.2,33982.4,0,32764.9,0,27534.6,106
0.2,10,30,250,0.8,0.2,40810.2,0,41827.4,0,35838.6,120
0.2,10,50,250,0.2,0.2,39723.7,0,39873,0,33678.8,183
0.2,10,50,250,0.8,0.2,49088.3,0,47621,0,42058.6,138
0.2,10,30,350,0.2,0.2,48730.4,0,49150.7,0,41015.6,192
0.2,10,30,350,0.8,0.2,59364.2,0,61387.2,0,52221.1,365
0.2,10,50,350,0.2,0.2,56398.5,0,55027.1,0,47252.5,448
0.2,10,50,350,0.8,0.2,65844.4,0,65270.8,0,58306.2,387
0.8,10,2,20,0.2,0.2,6521.3,0,5841.76,0,5394.38,0
0.8,10,2,20,0.8,0.2,8431.39,0,7080.65,0,6017.27,0
0.8,10,3,20,0.2,0.2,7424.39,0,5216.46,0,4672.16,0
0.8,10,3,20,0.8,0.2,7941.24,0,5985.24,0,5123.89,0
0.8,10,5,20,0.2,0.2,9200.39,0,7564.53,0,6946.99,0
0.8,10,5,20,0.8,0.2,10685.2,0,8764.33,0,7824.91,0
0.8,10,10,50,0.2,0.2,49702.4,0,46508.8,0,38470.1,0
0.8,10,10,50,0.8,0.2,53711.2,0,48877.9,0,39654.1,0
0.8,10,30,50,0.2,0.2,83130.7,0,74386.3,0,66018.7,1
0.8,10,30,50,0.8,0.2,85342.3,0,77397.4,0,68361.5,1
0.8,10,50,50,0.2,0.2,108666,0,100634,0,89761,3
0.8,10,50,50,0.8,0.2,109906,0,107936,0,92585.8,5
0.8,10,30,150,0.2,0.2,400068,0,372777,0,327983,45
0.8,10,30,150,0.8,0.2,393197,0,395314,0,334260,32
0.8,10,50,150,0.2,0.2,463809,0,445537,0,400127,58
0.8,10,50,150,0.8,0.2,486609,0,485463,0,411625,35
0.8,10,30,250,0.2,0.2,886389,0,826675,0,737570,72
0.8,10,30,250,0.8,0.2,853812,0,853185,0,747060,136
0.8,10,50,250,0.2,0.2,993240,0,988287,0,861275,155
0.8,10,50,250,0.8,0.2,1.03885e+06,0,993614,0,878563,210
0.8,10,30,350,0.2,0.2,1.4713e+06,0,1.4642e+06,0,1.29333e+06,280
0.8,10,30,350,0.8,0.2,1.4843e+06,0,1.4878e+06,0,1.30855e+06,199
0.8,10,50,350,0.2,0.2,1.70516e+06,0,1.63815e+06,0,1.46574e+06,373
0.8,10,50,350,0.8,0.2,1.69677e+06,0,1.66277e+06,0,1.47635e+06,393
